index_ids,text
0,/s C: Program Files (x86) F-Secure PSB Ultralight http 1592396484 browser fs_ie_https fs_ie_https.dll.
1,/s C: Program Files (x86) F-Secure PSB Ultralight http 1596450158 browser fs_ie_https fs_ie_https.dll.
2,/s C: Program Files (x86) F-Secure PSB Ultralight http 1599459376 browser fs_ie_https fs_ie_https.dll.
3,/s C: Program Files (x86) F-Secure PSB Ultralight http 1602159555 browser fs_ie_https fs_ie_https.dll.
4,/s C: Program Files (x86) F-Secure PSB Ultralight nif 1582124234 browser install fs_ie_https fs_ie_https64.dll.
5,/s C: Program Files (x86) F-Secure PSB Ultralight ulcore 1594813445 fsamsi32.dll.
6,/s C: Program Files (x86) F-Secure PSB Ultralight ulcore 1596540521 fsamsi32.dll.
7,/s C: Program Files (x86) F-Secure PSB Ultralight ulcore 1598269046 fsamsi32.dll.
8,/s C: Program Files (x86) F-Secure PSB Ultralight ulcore 1601904388 fsamsi32.dll.
9,/s C: Program Files (x86) F-Secure PSB Ultralight ulcore 1602225647 fsamsi32.dll.
10,/s /u C: Program Files (x86) F-Secure PSB Ultralight nif 1582124234 browser install fs_ie_https fs_ie_https64.dll.
11,C: Program Files (x86) Adobe Acrobat Reader DC Reader AcroCEF RdrServicesUpdater.exe 20.012.20041 20.009.20063.0.
12,C: Program Files (x86) Adobe Acrobat Reader DC Reader AcroCEF RdrServicesUpdater.exe 20.012.20048 20.012.20041.0.
13,C: Program Files (x86) Adobe Acrobat Reader DC Reader AdobeCollabSync.exe -c.
14,C: Program Files (x86) Adobe Acrobat Reader DC Reader AdobeCollabSync.exe -c --type=collab-renderer --proc=1196.
15,C: Program Files (x86) Adobe Acrobat Reader DC Reader FullTrustNotifier.exe GetChannelUri.
16,C: Program Files (x86) Adobe Acrobat Reader DC Reader Reader_sl.exe.
17,C: Program Files (x86) Adobe Adobe Connect ConnectAppSetup.exe /Commit /msi.
18,C: Program Files (x86) Adobe Connect ConnectAppSetup.exe /Commit /msi.
19,C: Program Files (x86) Adobe Connect adobeconnectaddin.exe /uninstall.
20,C: Program Files (x86) Adobe Connect connectappsetup.exe /msi.
21,C: Program Files (x86) Common Files Adobe ARM 1.0 AdobeARM.exe.
22,C: Program Files (x86) Common Files Adobe ARM 1.0 AdobeARM.exe /ArmElevate /MODE:3 /PRODUCT:{291AA914-A987-4CE9-BD63-AC0A92D435E5} /VERSION:20.0 /LANG:ENU /Svc /USER:SYSTEM /SESSIONID:1.
23,C: Program Files (x86) Common Files Adobe ARM 1.0 AdobeARMHelper.exe /ArmElevate /MODE:3 /PRODUCT:{291AA914-A987-4CE9-BD63-AC0A92D435E5} /VERSION:20.0 /LANG:ENU /Svc /USER:SYSTEM /SESSIONID:1.
24,C: Program Files (x86) Common Files Adobe ARM 1.0 armsvc.exe.
25,C: Program Files (x86) Common Files Pulse Secure CloudAppVisibility cav.exe.
26,C: Program Files (x86) Common Files Pulse Secure JUNS PulseSecureService.exe.
27,C: Program Files (x86) Common Files Pulse Secure JamUI Pulse.exe -show.
28,C: Program Files (x86) Common Files Pulse Secure JamUI Pulse.exe -tray.
29,C: Program Files (x86) Common Files VMware USB vmware-usbarbitrator64.exe.
30,C: Program Files (x86) Common Files Zoom Support CptService.exe -user_path C: Users Default AppData Roaming Zoom.
31,C: Program Files (x86) F-Secure PSB Ultralight http 1592396484 nif2_ols_ca.exe --browser-install.
32,C: Program Files (x86) F-Secure PSB Ultralight http 1596450158 nif2_ols_ca.exe --browser-install.
33,C: Program Files (x86) F-Secure PSB Ultralight http 1599459376 nif2_ols_ca.exe --browser-install.
34,C: Program Files (x86) F-Secure PSB Ultralight http 1602159555 nif2_ols_ca.exe --browser-install.
35,C: Program Files (x86) F-Secure PSB Ultralight nif2 hotfix_CSBP22645 install.exe.
36,C: Program Files (x86) F-Secure PSB Ultralight nif 1582124234 fs_ols_ca.exe --browser-install.
37,C: Program Files (x86) F-Secure PSB Ultralight nif 1582124234 fs_ols_ca.exe --browser-uninstall.
38,C: Program Files (x86) F-Secure PSB Ultralight nif 1582124234 fs_ols_ca.exe --collect_extension_states.
39,C: Program Files (x86) F-Secure PSB Ultralight nif 1582124234 fs_ols_ca.exe --hotfix.
40,C: Program Files (x86) F-Secure PSB Ultralight nif 1582124234 install.exe --uninstall.
